Title,Release_Date,MPAA_Rating,Running_Time_min,Distributor,Source,Major_Genre,Creative_Type,Director,Rotten_Tomatoes_Rating,IMDB_Rating,IMDB_Votes
Dead Poets' Society,2-Jun-89,,,Walt Disney Pictures,Original Screenplay,Drama,Contemporary Fiction,Peter Weir,86,7.8,89662
The Day the Earth Stood Still,4-Mar-03,,,,,,,,94,5.5,51517
Deep Throat,30-Jun-72,,,,,,,,,5.2,3075
The Dead Zone,21-Oct-83,,,Paramount Pictures,Based on Book/Short Story,Horror,Fantasy,David Cronenberg,,7.3,19485
Die Hard 2,3-Jul-90,,,20th Century Fox,Based on Book/Short Story,Action,Contemporary Fiction,Renny Harlin,,7,79636
Die Hard: With a Vengeance,19-May-95,R,,20th Century Fox,Based on Book/Short Story,Action,Contemporary Fiction,John McTiernan,,7.4,87437
Dragonheart,31-May-96,PG-13,108,Universal,Original Screenplay,Adventure,Fantasy,Rob Cohen,50,6.2,26309
Die Hard,15-Jul-88,,,20th Century Fox,Based on Book/Short Story,Action,Contemporary Fiction,John McTiernan,94,7.3,237
Diner,2-Apr-82,,,MGM,Original Screenplay,Comedy,Historical Fiction,Barry Levinson,96,7.1,7803
Dil Jo Bhi Kahey...,23-Sep-05,Not Rated,,Eros Entertainment,Original Screenplay,Drama,,,,5,159
Don Juan DeMarco,7-Apr-95,PG-13,,New Line,Original Screenplay,Drama,Contemporary Fiction,,73,6.6,20386
Tales from the Crypt: Demon Knight,13-Jan-95,R,,Universal,Original Screenplay,Horror,Fantasy,,,6.4,6430
Damnation Alley,21-Oct-77,,,,,,,,,4.7,1655
Dead Man Walking,29-Dec-95,R,,Gramercy,Based on Real Life Events,Drama,Dramatization,Tim Robbins,94,7.6,32159
Dances with Wolves,9-Nov-90,,,Orion Pictures,Based on Book/Short Story,Western,Historical Fiction,Kevin Costner,76,8,71399
Dangerous Liaisons,21-Dec-88,,,Warner Bros.,Based on Book/Short Story,Drama,Historical Fiction,Stephen Frears,93,7.7,25761
Donovan's Reef,1963-01-01,,,,,,,John Ford,60,6.6,2907
Due occhi diabolici,25-Oct-91,,,,,,,,,5.9,2059
Double Impact,9-Aug-91,,,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Sheldon Lettich,8,4.7,10426
The Doors,1-Mar-91,,,Sony Pictures,Based on Real Life Events,Drama,Dramatization,Oliver Stone,57,7,29750
Day of the Dead,3-Jul-85,,,United Film Distribution Co.,,Horror,,George A. Romero,78,4.5,8395
Days of Thunder,27-Jun-90,,,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,Tony Scott,40,5.4,25395
Dracula: Pages from a Virgin's Diary,14-May-03,Not Rated,,,,,,,,7,1013
Dolphin,"June, 1979",,,,Based on Real Life Events,Documentary,Factual,,,5.8,134
Death Race 2000,1-Apr-75,R,,,Based on Book/Short Story,,Science Fiction,,84,6.1,10015
Drei,,,,,,,,Tom Tykwer,,,
The Dress,16-Jan-98,Not Rated,,Attitude Films,Original Screenplay,Drama,,,,7.6,1844
The Deer Hunter,1979-01-01,,,Universal,Original Screenplay,Drama,,Michael Cimino,,8.2,88095
Dragonslayer,26-Jun-81,,,Paramount Pictures,Original Screenplay,Action,Fantasy,,82,6.8,4945
Driving Miss Daisy,13-Dec-89,,,Warner Bros.,Based on Play,Drama,Historical Fiction,Bruce Beresford,78,7.5,22566
Dressed to Kill,1-Jan-80,,,,,,,Brian De Palma,84,7.1,9556
Do the Right Thing,30-Jun-89,,,Universal,Original Screenplay,Comedy,Contemporary Fiction,Spike Lee,98,7.9,26877
Dune,14-Dec-84,,,Universal,Based on Book/Short Story,Action,Science Fiction,David Lynch,62,6.5,38489
Dolphins and Whales Tribes of the Ocean 3D,15-Feb-08,Not Rated,,3D Entertainment,Based on Real Life Events,Documentary,Factual,,,,
Down & Out with the Dolls,21-Mar-03,R,,Indican Pictures,,,,,,5.8,75
Dream With The Fishes,20-Jun-97,R,,Sony Pictures Classics,Original Screenplay,Drama,Contemporary Fiction,,58,6.6,1188
Doctor Zhivago,22-Dec-65,PG-13,,MGM,Based on Book/Short Story,Drama,Historical Fiction,David Lean,84,8,27671
The Evil Dead,15-Apr-83,NC-17,,New Line,,Horror,,Sam Raimi,,7.6,45030
Evil Dead II,13-Mar-87,,,Rosebud Releasing,,Horror,Fantasy,Sam Raimi,,7.9,44214
Army of Darkness,19-Feb-93,R,,Universal,,Horror,Fantasy,Sam Raimi,,7.6,55671
Ed and his Dead Mother,1993-01-01,,,,,,,,50,5.6,829
Edward Scissorhands,7-Dec-90,,,20th Century Fox,Original Screenplay,Comedy,Fantasy,Tim Burton,91,8,102485
Ed Wood,30-Sep-94,R,,Walt Disney Pictures,Based on Book/Short Story,Comedy,Dramatization,Tim Burton,91,8.1,74171
The Egyptian,1954-01-01,,,,,,,Michael Curtiz,,6.2,1097
Everyone Says I Love You,6-Dec-96,R,,Miramax,Original Screenplay,Musical,Contemporary Fiction,Woody Allen,80,6.8,16481
The Elephant Man,3-Oct-80,,,,,,,David Lynch,91,8.4,58194
Emma,2-Aug-96,PG,111,Miramax,Based on Book/Short Story,Romantic Comedy,Historical Fiction,,,6.8,13798
Star Wars Ep. V: The Empire Strikes Back,21-May-80,PG,,20th Century Fox,Original Screenplay,Adventure,Science Fiction,,,,
Escape from New York,10-Jul-81,,,Avco Embassy,Original Screenplay,Action,Science Fiction,John Carpenter,82,7.1,34497
Escape from L.A.,9-Aug-96,R,101,Paramount Pictures,Original Screenplay,Action,Science Fiction,John Carpenter,56,5.3,23262
Escape from the Planet of the Apes,1971-01-01,,,,,,Science Fiction,,78,6.1,7686
Eraser,21-Jun-96,R,115,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,Chuck Russell,34,5.9,37287
Eraserhead,1977-01-01,,,,,,,David Lynch,90,7.4,26595
Everything You Always Wanted to Know,11-Aug-72,,,MGM,Based on Book/Short Story,Comedy,,Woody Allen,,,
ET: The Extra-Terrestrial,11-Jun-82,PG,,Universal,Original Screenplay,Drama,Science Fiction,Steven Spielberg,,7.9,105028
Excessive Force,14-May-93,,,,,,,,,4.7,537
Exorcist II: The Heretic,17-Jun-77,,,,,Horror,,John Boorman,,3.5,7849
Exotica,23-Sep-94,R,,Miramax,Original Screenplay,Drama,Contemporary Fiction,Atom Egoyan,96,7.1,8402
Force 10 from Navarone,22-Dec-78,,,Sony/Columbia,,Action,,Guy Hamilton,64,6,5917
A Farewell To Arms,1957-01-01,,,,,,,John Huston,,6.6,1655
Fatal Attraction,18-Sep-87,,,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Adrian Lyne,81,6.8,22328
Family Plot,9-Apr-76,,,Universal,,,,Alfred Hitchcock,95,6.8,7290
Fabled,10-Dec-04,R,,Indican Pictures,Original Screenplay,Horror,,Ari S. Kirschenbaum,,5.4,146
Fetching Cody,17-Mar-06,,,,Original Screenplay,Comedy,Science Fiction,,,6.7,535
The French Connection,9-Oct-71,,,,,,,William Friedkin,98,7.9,33674
From Dusk Till Dawn,19-Jan-96,R,107,Miramax/Dimension,Original Screenplay,Horror,Fantasy,Robert Rodriguez,63,7.1,80234
Friday the 13th,9-May-80,,,Paramount Pictures,,Horror,,,60,5.6,26798
Friday the 13th Part 3,13-Aug-82,,,Paramount Pictures,,Horror,Contemporary Fiction,Steve Miner,14,5.5,13395
Friday the 13th Part IV: The Final Chapter,13-Apr-84,,,Paramount Pictures,,Horror,Fantasy,,,,
Friday the 13th Part V: A New Beginning,22-Mar-85,,,Paramount Pictures,,Horror,Contemporary Fiction,,,,
Friday the 13th Part VI: Jason Lives,1-Aug-86,,,Paramount Pictures,,Horror,Fantasy,,,,
Friday the 13th Part VII: The New Blood,13-May-88,,,Paramount Pictures,,Horror,Fantasy,,,4.6,8916
Friday the 13th Part VIII: Jason Takes Manhattan,28-Jul-89,,,Paramount Pictures,,Horror,Fantasy,,,3.9,10113
Jason Goes to Hell: The Final Friday,13-Aug-93,,,New Line,,Horror,Fantasy,,,4.1,8733
Per qualche dollaro in piË,10-May-67,,,MGM,Original Screenplay,Western,Historical Fiction,Sergio Leone,,8.2,44204
Per un pugno di dollari,18-Jan-67,,,United Artists,Remake,Western,Historical Fiction,Sergio Leone,,8,39929
The Fall of the Roman Empire,1-Jan-64,,,,,,,,100,6.6,3184
Friday the 13th Part 2,30-Apr-81,,,,,Horror,,Steve Miner,33,5.5,13395
Faithful,5-Apr-96,R,,New Line,Based on Play,Black Comedy,Contemporary Fiction,Paul Mazursky,7,5.7,989
Fair Game,3-Nov-95,R,,Warner Bros.,Based on Book/Short Story,Action,Contemporary Fiction,,13,6.6,194
A Few Good Men,11-Dec-92,,,Sony Pictures,Based on Play,Drama,Contemporary Fiction,Rob Reiner,83,7.6,63541
The Fugitive,6-Aug-93,PG-13,,Warner Bros.,Based on TV,Thriller/Suspense,Contemporary Fiction,Andrew Davis,94,7.8,96914
From Here to Eternity,5-Aug-53,,,,,,,Fred Zinnemann,86,7.9,15115
First Morning,15-Jul-05,PG-13,90,Illuminare,,Drama,,,,,
Shooting Fish,1-May-98,PG,,Fox Searchlight,,,,,,6.4,4849
F.I.S.T,13-Apr-78,,,United Artists,Based on Real Life Events,Drama,Dramatization,Norman Jewison,,6.2,2737
Flashdance,15-Apr-83,,,Paramount Pictures,Original Screenplay,Drama,Contemporary Fiction,Adrian Lyne,29,5.6,12485
Fled,19-Jul-96,R,98,MGM,Original Screenplay,Action,Contemporary Fiction,,14,4.9,4215
Flash Gordon,5-Dec-80,,,Universal,Based on Comic/Graphic Novel,Action,Science Fiction,,81,6.2,14894
The Flintstones,27-May-94,PG,,Universal,Based on TV,Comedy,Historical Fiction,Brian Levant,20,4.6,26521
Flight of the Intruder,18-Jan-91,,,Paramount Pictures,Based on Book/Short Story,Action,Historical Fiction,John Milius,,5.3,2592
Flatliners,10-Aug-90,R,,Sony Pictures,Original Screenplay,Thriller/Suspense,Science Fiction,Joel Schumacher,52,6.4,23295
The Flower of Evil,10-Oct-03,R,,,,,,,64,,
Funny Ha Ha,29-Apr-05,Not Rated,,Goodbye Cruel Releasing,Original Screenplay,Comedy,,,,6.1,1138
The Funeral,1-Nov-96,R,,October Films,Original Screenplay,Drama,Historical Fiction,Abel Ferrara,83,6.4,4084
Fantasia,13-Nov-40,,,Walt Disney Pictures,Compilation,Musical,Multiple Creative Types,,98,7.8,29914
Fantasia 2000 (IMAX),1-Jan-00,G,75,Walt Disney Pictures,Compilation,Musical,Kids Fiction,,,,
The Fog,1-Feb-80,,,Avco Embassy,,Horror,,John Carpenter,69,3.3,15760
Forrest Gump,6-Jul-94,PG-13,,Paramount Pictures,Based on Book/Short Story,Drama,Historical Fiction,Robert Zemeckis,70,8.6,300455
Fortress,3-Sep-93,,,Miramax,Original Screenplay,Action,Science Fiction,,36,5.5,7026
Fiddler on the Roof,1-Jan-71,,,United Artists,Based on Musical/Opera,Musical,Historical Fiction,Norman Jewison,88,7.7,14260
The Front Page,17-Dec-74,,,Universal,Based on Play,Comedy,Contemporary Fiction,Billy Wilder,67,7.2,3875
First Blood,22-Oct-82,R,,Orion Pictures,Based on Book/Short Story,Action,Contemporary Fiction,Ted Kotcheff,,7.4,56369
Friday,26-Apr-95,R,,New Line,Original Screenplay,Comedy,Contemporary Fiction,F. Gary Gray,77,7,21623
Freeze Frame,10-Dec-04,R,,First Look,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,83,6.3,1723
Firefox,18-Jun-82,,,Warner Bros.,Based on Book/Short Story,Action,Science Fiction,Clint Eastwood,42,5.6,9348
Fargo,8-Mar-96,R,87,Gramercy,Based on Real Life Events,Thriller/Suspense,Contemporary Fiction,Joel Coen,94,8.3,165159
First Knight,7-Jul-95,PG-13,,Sony Pictures,Traditional/Legend/Fairytale,Drama,Historical Fiction,Jerry Zucker,45,5.6,20928
From Russia With Love,8-Apr-64,,,MGM,Based on Book/Short Story,Action,,,,7.5,32541
The Firm,30-Jun-93,R,,Paramount Pictures,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Sydney Pollack,76,5.5,957
Frenzy,21-Jun-72,,,Universal,,,,Alfred Hitchcock,87,7.5,13093
Footloose,17-Feb-84,,,Paramount Pictures,Original Screenplay,Musical,Contemporary Fiction,Herbert Ross,56,6,15626
Fast Times at Ridgemont High,13-Aug-82,,,Universal,Based on Book/Short Story,Comedy,Contemporary Fiction,Amy Heckerling,80,7.2,31362
Fighting Tommy Riley,6-May-05,R,,Freestyle Releasing,Original Screenplay,Drama,,,,6.6,499
The First Wives Club,20-Sep-96,PG,90,Paramount Pictures,Based on Book/Short Story,Comedy,Contemporary Fiction,Hugh Wilson,41,5.6,14682
Flirting with Disaster,22-Mar-96,R,,Miramax,Original Screenplay,Comedy,Contemporary Fiction,David O. Russell,86,6.7,8474
For Your Eyes Only,26-Jun-81,,,MGM,Based on Book/Short Story,Action,Contemporary Fiction,John Glen,71,6.8,23527
Fiza,8-Sep-00,Not Rated,,Video Sound,Original Screenplay,Drama,Contemporary Fiction,,,6.5,749
Grip: A Criminal's Story,28-Apr-06,Not Rated,,JeTi Films,Original Screenplay,Action,Contemporary Fiction,,,,
The Ghost and the Darkness,11-Oct-96,R,109,Paramount Pictures,Based on Real Life Events,Action,Dramatization,Stephen Hopkins,51,6.6,19735
Gallipoli,28-Aug-81,,,,,,,Peter Weir,86,7.7,14139
Gabriela,16-Mar-01,R,,Power Point Films,Original Screenplay,Drama,Contemporary Fiction,,,5.5,1399
"Il buono, il brutto, il cattivo",29-Dec-67,,,United Artists,Original Screenplay,Western,Historical Fiction,Sergio Leone,,6.8,104
Graduation Day,1-May-81,,,,,Thriller/Suspense,,,,3,836
The Godfather: Part II,11-Dec-74,,,Paramount Pictures,,,Historical Fiction,Francis Ford Coppola,,9,245271
The Godfather: Part III,25-Dec-90,,,Paramount Pictures,,Drama,Historical Fiction,Francis Ford Coppola,,7.6,82977
Goodfellas,19-Sep-90,,,Warner Bros.,Based on Book/Short Story,Drama,Dramatization,Martin Scorsese,97,8.8,229156
The Godfather,15-Mar-72,,,Paramount Pictures,,,Historical Fiction,Francis Ford Coppola,100,9.2,411088
God's Army,10-Mar-00,PG,,Excel Entertainment,Original Screenplay,Drama,Contemporary Fiction,,50,6.8,638
The Great Escape,8-Aug-63,,,MGM,,,,John Sturges,91,8.4,62074
Gory Gory Hallelujah,21-Jan-05,Not Rated,100,Indican Pictures,Original Screenplay,Musical,,Sue Corcoran,,5.2,134
Ghost,13-Jul-90,,,Paramount Pictures,Original Screenplay,Drama,Fantasy,Jerry Zucker,81,6.9,51125
Ghostbusters,8-Jun-84,PG,,Sony Pictures,Original Screenplay,Comedy,Science Fiction,Ivan Reitman,,6.8,358
Girl 6,22-Mar-96,R,,Fox Searchlight,Original Screenplay,Comedy,Contemporary Fiction,Spike Lee,34,4.9,3348
Goldeneye,17-Nov-95,PG-13,,MGM,Based on Book/Short Story,Action,Contemporary Fiction,Martin Campbell,80,7.2,69199
The Glimmer Man,4-Oct-96,R,92,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,,13,4.9,7230
Glory,14-Dec-89,,,Sony Pictures,Based on Book/Short Story,Action,Dramatization,Edward Zwick,93,8,56427
The Gambler,4-Aug-99,R,,,,Drama,,,,6.1,199
Good Morning Vietnam,23-Dec-87,,,Walt Disney Pictures,Original Screenplay,Comedy,Historical Fiction,Barry Levinson,,7.2,32609
Gandhi,8-Dec-82,,,Sony Pictures,Based on Real Life Events,Drama,Dramatization,Sir Richard Attenborough,85,8.2,50881
A Guy Named Joe,24-Dec-43,,,MGM,Original Screenplay,Drama,,,,6.9,869
Gentleman's Agreement,1947-01-01,,,,,,,Elia Kazan,83,7.4,4637
Goodbye Bafana,14-Dec-07,,,Paramount Vantage,Based on Book/Short Story,Drama,Dramatization,Bille August,,7,3631
Get on the Bus,16-Oct-96,R,,Sony Pictures,Based on Real Life Events,Drama,Historical Fiction,Spike Lee,87,6.7,2701
The Golden Child,12-Dec-86,,,Paramount Pictures,Original Screenplay,Action,Fantasy,Michael Ritchie,26,5.4,14471
Good Dick,10-Oct-08,R,,Present Pictures/Morning Knight,Original Screenplay,Drama,Contemporary Fiction,,,6.4,3004
Goldfinger,22-Dec-64,,,MGM,Based on Book/Short Story,Action,,Guy Hamilton,96,7.9,47095
Groundhog Day,12-Feb-93,PG,,Sony/Columbia,Original Screenplay,Comedy,Fantasy,Harold Ramis,96,8.2,134964
Gremlins,8-Jun-84,,,Warner Bros.,Original Screenplay,Comedy,Fantasy,Joe Dante,78,7,42163
Get Real,30-Apr-99,R,,Paramount Pictures,Based on Play,Comedy,Contemporary Fiction,,,7.5,6026
Gremlins 2: The New Batch,15-Jun-90,,,Warner Bros.,Original Screenplay,Comedy,Fantasy,Joe Dante,,6.1,22712
The Greatest Story Ever Told,15-Feb-65,G,,MGM,Based on Book/Short Story,Drama,,David Lean,39,6.3,3300
The Gospel of John,26-Sep-03,PG-13,,ThinkFilm,Original Screenplay,Drama,Dramatization,,,,
The Greatest Show on Earth,10-Jan-52,,,,,,,,41,6.8,4264
The First Great Train Robbery,2-Feb-79,,,United Artists,Based on Book/Short Story,Action,,Michael Crichton,,6.9,5141
Get Shorty,20-Oct-95,R,,MGM,Based on Book/Short Story,Comedy,Contemporary Fiction,Barry Sonnenfeld,86,6.9,33364
Gettysburg,8-Oct-93,,,New Line,,Drama,,,87,7.6,11215
Guiana 1838,24-Sep-04,Not Rated,,RBC Radio,Based on Real Life Events,Drama,Dramatization,,,,
Gone with the Wind,15-Dec-39,G,222,MGM,Based on Book/Short Story,Drama,Historical Fiction,George Cukor,97,8.2,78947
Happiness,16-Oct-98,Not Rated,,Good Machine Releasing,Original Screenplay,Comedy,Contemporary Fiction,Todd Solondz,84,6.5,64
Harley Davidson and the Marlboro Man,23-Aug-91,,,MGM,Original Screenplay,Action,Science Fiction,Simon Wincer,27,5.3,6995
Heavy Metal,7-Aug-81,,,Sony/Columbia,Based on Comic/Graphic Novel,Adventure,Science Fiction,,60,6,45
Hell's Angels,1930-01-01,,,,,,,,90,7.9,2050
Heartbeeps,18-Dec-81,,,Universal,Original Screenplay,Comedy,Science Fiction,,,4.1,620
The Helix...  Loaded,18-Mar-05,R,,Romar,Original Screenplay,Comedy,,,,1.5,486
Hang 'em High,3-Aug-68,,,United Artists,Original Screenplay,Western,Historical Fiction,,93,6.9,10292
Hellraiser,18-Sep-87,,,New World,Based on Book/Short Story,Horror,Fantasy,,63,7,22442
Hero,2-Oct-92,,,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Stephen Frears,,6.4,323
Highlander III: The Sorcerer,27-Jan-95,PG-13,,Miramax,Original Screenplay,Action,Fantasy,,,3.8,7763
Highlander,7-Mar-86,R,,20th Century Fox,Original Screenplay,Action,Fantasy,Russell Mulcahy,66,7.2,40802
How Green Was My Valley,28-Oct-41,,,20th Century Fox,Based on Book/Short Story,,,John Ford,88,7.9,7420
High Noon,1952-01-01,,,,,,,Fred Zinnemann,95,8.3,34163
History of the World: Part I,12-Jun-81,,,20th Century Fox,Original Screenplay,Comedy,Historical Fiction,Mel Brooks,,6.5,16691
"Hello, Dolly",16-Dec-69,,,,,,,,,4.4,254
Halloween II,30-Oct-81,,,Universal,,Horror,Contemporary Fiction,Rick Rosenthal,27,4.9,12197
Halloween 3: Season of the Witch,22-Oct-82,,,Universal,,Horror,Contemporary Fiction,,,3.8,12644
Halloween 4: The Return of Michael Myers,1-Oct-88,,,Universal,,Horror,Fantasy,Dwight H. Little,23,5.6,11079
Halloween 5: The Revenge of Michael Myers,13-Oct-89,,,Galaxy International Releasing,,Horror,Fantasy,,14,,
Halloween:  The Curse of Michael Myers,29-Sep-95,R,,Miramax,,Horror,Contemporary Fiction,,,4.4,8576
Halloween,17-Oct-78,,,,,Horror,,John Carpenter,93,6,39866
Home Alone 2: Lost in New York,20-Nov-92,PG,,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,Chris Columbus,21,5.8,51408
Home Alone,16-Nov-90,PG,,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,Chris Columbus,47,7,79080
Home Movies,16-May-80,,,,,,,,,5.3,291
Hum to Mohabbt Karega,26-May-00,Not Rated,,,,Drama,,,,3.6,74
The Hotel New Hampshire,9-Mar-84,,,Orion Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,,69,5.8,4387
Henry V,8-Nov-89,PG-13,,Goldwyn Entertainment,Based on Play,Action,Historical Fiction,Kenneth Branagh,100,7.9,14499
Housefull,30-Apr-10,,,Eros Entertainment,,,,,,4.6,687
Hook,11-Dec-91,,,Sony Pictures,Based on Book/Short Story,Adventure,Kids Fiction,Steven Spielberg,24,6.2,60159
House Party 2,23-Oct-91,,,New Line,Original Screenplay,Comedy,Contemporary Fiction,,25,4.3,1596
Hocus Pocus,16-Jul-93,,,Walt Disney Pictures,Original Screenplay,Comedy,Fantasy,,29,6,15893
The Howling,10-Apr-81,,,,,,,Joe Dante,60,6.5,8731
High Plains Drifter,1-Jan-72,,,Universal,Original Screenplay,Western,Historical Fiction,Clint Eastwood,,7.6,15718
Hoop Dreams,14-Oct-94,PG-13,,Fine Line,Based on Real Life Events,Documentary,Factual,,98,8,9492
Happy Gilmore,16-Feb-96,PG-13,92,Universal,Original Screenplay,Comedy,Contemporary Fiction,Dennis Dugan,58,6.9,54111
The Hudsucker Proxy,11-Mar-94,PG,,Warner Bros.,Original Screenplay,Comedy,,Joel Coen,58,7.4,32344
A Hard Day's Night,11-Aug-64,,,Universal,Original Screenplay,Comedy,Contemporary Fiction,,100,7.6,15291
Heroes,24-Oct-08,R,,Eros Entertainment,Original Screenplay,Adventure,Contemporary Fiction,,,6.1,505
The Hunt for Red October,2-Mar-90,,,Paramount Pictures,Based on Book/Short Story,Thriller/Suspense,Historical Fiction,John McTiernan,95,7.6,55202
Harper,23-Feb-66,,,,,,,,,7,2395
Harriet the Spy,10-Jul-96,PG,101,Paramount Pictures,Based on Book/Short Story,Adventure,Kids Fiction,,45,5.8,2963
Le hussard sur le toit,19-Apr-96,R,,Miramax,Based on Book/Short Story,Drama,Historical Fiction,,,6.9,3083
The Hustler,25-Sep-61,,,,,,,,97,8.1,25385
Hud,29-May-63,,,,,,,Martin Ritt,79,3.4,93
Hudson Hawk,24-May-91,,,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Michael Lehmann,20,5.3,21920
Heaven's Gate,19-Nov-80,,,,,,,Michael Cimino,,6.5,4649
Hav Plenty,19-Jun-98,R,,Miramax,Original Screenplay,Comedy,Contemporary Fiction,,,5.6,580
House of Wax,10-Apr-53,R,,,,,,,94,5.4,32159
Hawaii,10-Oct-66,,,MGM,,,,George Roy Hill,,6.4,1153
Howard the Duck,1-Aug-86,,,Universal,Based on Comic/Graphic Novel,Action,Science Fiction,,16,4.1,16051
High Anxiety,23-Dec-77,,,,,,,Mel Brooks,73,6.5,7025
Hybrid,10-May-02,Not Rated,,Indican Pictures,Based on Real Life Events,Documentary,Factual,,,2.2,380
It's a Wonderful Life,1946-01-01,,,,,,,Frank Capra,94,8.7,101499
The Ice Pirates,16-Mar-84,,,MGM/UA Classics,Original Screenplay,Comedy,Science Fiction,,11,5.1,3600
Independence Day,2-Jul-96,PG-13,145,20th Century Fox,Original Screenplay,Adventure,Science Fiction,Roland Emmerich,61,6.5,149493
The Island of Dr. Moreau,23-Aug-96,PG-13,95,New Line,Based on Book/Short Story,Adventure,Science Fiction,John Frankenheimer,23,4.1,13770
Iraq for Sale: The War Profiteers,8-Sep-06,,,,Based on Real Life Events,Documentary,Factual,,100,7.8,854
